,zona,enderecos_lista,area,quartos,aluguel
0,norte,"Praça Rafael Mendes De Carvalho, Jardim Paraíso, São Paulo Zona Norte, São Paulo",50.0,2.0,1150
1,norte,"Rua Almirante Noronha, Jardim São Paulo, São Paulo Zona Norte, São Paulo",76.0,3.0,1480
2,norte,"Rua Cássio De Almeida, Vila Guilherme, São Paulo Zona Norte, São Paulo",30.0,1.0,800
3,norte,"Rua Cabo José Da Silva, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",80.0,3.0,1180
4,norte,"Parque Domingos Luís, Jardim São Paulo, São Paulo Zona Norte, São Paulo",70.0,2.0,1300
5,norte,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",45.0,1.0,990
6,norte,"Rua Soldado Brasílio Pinto De Almeida, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",65.0,2.0,980
7,norte,"Rua José Bernardo Pinto, Vila Guilherme, São Paulo Zona Norte, São Paulo",55.0,2.0,1350
8,norte,"Rua José Ferreira De Castro, Vila Amélia, São Paulo Zona Norte, São Paulo",49.0,2.0,1430
9,norte,"Rua Coronel Marcílio Franco, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",70.0,1.0,1260
10,norte,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",74.0,3.0,1450
11,norte,"Avenida Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",50.0,2.0,1200
12,norte,"Rua Conselheiro Moreira De Barros, Lauzane Paulista, São Paulo Zona Norte, São Paulo",60.0,2.0,1600
13,norte,"Rua João Ventura Batista, Vila Guilherme, São Paulo Zona Norte, São Paulo",54.0,2.0,1900
14,norte,"Rua Professor Antônio Da Costa, Parque Mandaqui, São Paulo Zona Norte, São Paulo",92.0,3.0,1750
15,norte,"Rua Antônio Ribeiro De Morais, Vila Carbone, São Paulo Zona Norte, São Paulo",74.0,3.0,1700
16,norte,"Rua Nanuque, Jardim Peri, São Paulo Zona Norte, São Paulo",80.0,2.0,2600
17,norte,"Rua Santa Leocádia, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",57.0,2.0,1500
18,norte,"Rua Roque De Morais, Limão, São Paulo Zona Norte, São Paulo",89.0,2.0,1600
19,norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",52.0,2.0,1600
20,norte,"Avenida Águas De São Pedro, Vila Paulicéia, São Paulo Zona Norte, São Paulo",110.0,3.0,3300
21,norte,"Avenida Boschetti, Vila Medeiros, São Paulo Zona Norte, São Paulo",56.0,2.0,1200
22,norte,"Avenida Jardim Japão, Jardim Brasil, São Paulo Zona Norte, São Paulo",53.0,2.0,1300
23,norte,"Rua São Nestor, Vila Mazzei, São Paulo Zona Norte, São Paulo",53.0,2.0,1200
24,norte,"Rua Domingos José Sapienza, Vila Amália, São Paulo Zona Norte, São Paulo",60.0,3.0,1800
25,norte,"Rua Elza Guimarães, Vila Amália, São Paulo Zona Norte, São Paulo",59.0,3.0,1670
26,norte,"Rua Capitão Servio Rodrigues Caldas, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",78.0,2.0,1610
27,norte,"Rua Dolores Duran, Vila Basileia, São Paulo Zona Norte, São Paulo",80.0,2.0,1872
28,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",330.0,4.0,11000
29,norte,"Avenida Das Flores, Jardim Peri, São Paulo Zona Norte, São Paulo",40.0,2.0,1200
30,norte,"Rua Maria Cândida, Vila Guilherme, São Paulo Zona Norte, São Paulo",50.0,2.0,1800
31,norte,"Rua Plácido Leão, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",300.0,3.0,3366
32,norte,"Rua Doutor Paulo Gatti, Vila Romero, São Paulo Zona Norte, São Paulo",194.0,3.0,6000
33,norte,"Rua Igarité, Vila Nova Carolina, São Paulo Zona Norte, São Paulo",108.0,3.0,2500
34,norte,"Avenida Celso Garcia, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",40.0,1.0,1186
35,norte,"Rua Dos Jacarandás Mimosos, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",41.0,1.0,1000
36,norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",122.0,2.0,3750
37,norte,"Rua Santa Eudóxia, Parque Peruche, São Paulo Zona Norte, São Paulo",585.0,3.0,3460
38,norte,"Rua José Hernandes Gonzáles, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",70.0,2.0,2020
39,norte,"Rua Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",59.0,3.0,2140
40,norte,"Rua Campo Comprido, Vila Romero, São Paulo Zona Norte, São Paulo",380.0,3.0,4500
41,norte,"Rua Pontins, Santana, São Paulo Zona Norte, São Paulo",590.0,5.0,15000
42,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",326.0,4.0,4386
43,norte,"Rua Jacaré Copaíba, Vila Marina, São Paulo Zona Norte, São Paulo",52.0,2.0,930
44,norte,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",72.0,3.0,2600
45,norte,"Rua Prainha, Vila Maria Alta, São Paulo Zona Norte, São Paulo",230.0,3.0,4500
46,norte,"Rua Cezar Zama, Santana, São Paulo Zona Norte, São Paulo",106.0,3.0,3800
47,norte,"Rua Itauna, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",85.0,3.0,1664
48,norte,"Rua Domiciano Ribeiro, Casa Verde Alta, São Paulo Zona Norte, São Paulo",60.0,1.0,892
49,norte,"Rua Bernardino Fanganiello, Casa Verde, São Paulo Zona Norte, São Paulo",60.0,2.0,1520
50,norte,"Avenida General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",68.0,2.0,1500
51,norte,"Rua Iacaia, Imirim, São Paulo Zona Norte, São Paulo",60.0,2.0,840
52,norte,"Rua Paulo Do Vale Júnior, Vila Bancária Munhoz, São Paulo Zona Norte, São Paulo",115.0,2.0,2080
53,norte,"Rua Liestal, Lauzane Paulista, São Paulo Zona Norte, São Paulo",48.0,2.0,1600
54,norte,"Avenida Conceição, Carandiru, São Paulo Zona Norte, São Paulo",70.0,2.0,3500
55,norte,"Rua Carlos Dos Santos, Jardim Brasil, São Paulo Zona Norte, São Paulo",40.0,1.0,880
56,norte,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",63.0,1.0,3060
57,norte,"Rua Moreira De Vasconcelos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",155.0,2.0,3060
58,norte,"Rua Comendador César Alfieri, Parque São Luís, São Paulo Zona Norte, São Paulo",50.0,2.0,1260
59,norte,"Avenida Ultramarino, Lauzane Paulista, São Paulo Zona Norte, São Paulo",50.0,2.0,1417
60,norte,"Avenida Das Flores, Jardim Peri, São Paulo Zona Norte, São Paulo",40.0,1.0,1500
61,norte,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",42.0,1.0,1400
62,norte,"Travessa Renê Vannes, Jardim Peri, São Paulo Zona Norte, São Paulo",110.0,2.0,1600
63,norte,"Rua Alegria, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",39.0,1.0,1900
64,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",82.0,3.0,3570
65,norte,"Rua Dolores Duran, Vila Basileia, São Paulo Zona Norte, São Paulo",80.0,2.0,1976
66,norte,"Rua Silva Guimarães, Vila Ede, São Paulo Zona Norte, São Paulo",110.0,4.0,2200
67,norte,"Rua Catugi, Vila Germinal, São Paulo Zona Norte, São Paulo",45.0,2.0,1500
68,norte,"Rua Salete, Santana, São Paulo Zona Norte, São Paulo",130.0,3.0,3800
69,norte,"Avenida Imperatriz Leopoldina, Jardim Peri, São Paulo Zona Norte, São Paulo",47.0,2.0,1872
70,norte,"Rua São Mauro, Jardim São Bento, São Paulo Zona Norte, São Paulo",350.0,5.0,4300
71,norte,"Rua Guaranésia, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",79.0,2.0,3000
72,norte,"Alameda Segundo-sargento Ananias Holanda De Oliveira, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",80.0,2.0,1200
73,norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",60.0,3.0,2200
74,norte,"Estrada Do Sabão, Jardim Maristela, São Paulo Zona Norte, São Paulo",275.0,3.0,3270
75,norte,"Rua Emílio Goeldi, Jardim Peri, São Paulo Zona Norte, São Paulo",64.0,3.0,2270
76,norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",38.0,1.0,2810
77,norte,"Rua Igarité, Vila Nova Carolina, São Paulo Zona Norte, São Paulo",60.0,3.0,2620
78,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",160.0,3.0,5000
